k,t,nth
1,2.195190,8
3,2.217540,8
5,2.217540,8
10,2.217543,8
30,2.217553,8
50,2.217559,8
100,2.217578,8
300,2.217619,8
500,2.217675,8
1000,2.217794,8
1,1.129015,8
3,1.129015,8
5,1.129015,8
10,1.129017,8
30,1.176779,8
50,1.176784,8
100,1.176790,8
300,1.176832,8
500,1.176876,8
1000,1.176981,8
1,1.335937,8
3,1.348567,8
5,1.348571,8
10,1.348572,8
30,1.348578,8
50,1.348587,8
100,1.370649,8
300,1.370689,8
500,1.370733,8
1000,1.370841,8
1,1.346436,8
3,1.420721,8
5,1.420722,8
10,1.420724,8
30,1.420730,8
50,1.420735,8
100,1.420748,8
300,1.420804,8
500,1.420861,8
1000,1.420988,8
1,1.070863,8
3,1.388074,8
5,2.002544,8
10,3.279553,8
30,3.507288,8
50,3.587799,8
100,3.587821,8
300,3.587908,8
500,3.587993,8
1000,3.588161,8
1,0.105975,8
3,0.105976,8
5,0.105976,8
10,0.128132,8
30,0.196530,8
50,0.337739,8
100,0.569669,8
300,1.294824,8
500,1.770018,8
1000,2.334764,8
1,1.307929,8
3,1.322312,8
5,1.397820,8
10,1.397821,8
30,1.418206,8
50,1.418210,8
100,1.418223,8
300,1.418276,8
500,1.418321,8
1000,1.418435,8
1,1.229584,8
3,1.240636,8
5,1.241016,8
10,1.241017,8
30,1.241021,8
50,1.241023,8
100,1.241030,8
300,1.241084,8
500,1.241134,8
1000,1.241242,8
1,0.874643,8
3,0.943577,8
5,1.162313,8
10,1.629993,8
30,1.913464,8
50,2.085446,8
100,2.305283,8
300,2.603746,8
500,2.813034,8
1000,2.827433,8
1,1.106056,8
3,1.152097,8
5,1.152097,8
10,1.152098,8
30,1.152105,8
50,1.152110,8
100,1.152120,8
300,1.272533,8
500,1.272586,8
1000,1.272717,8
1,2.141086,16
3,2.141087,16
5,2.141087,16
10,2.141089,16
30,2.141091,16
50,2.141096,16
100,2.141106,16
300,2.141152,16
500,2.141196,16
1000,2.141311,16
1,1.071943,16
3,1.071944,16
5,1.071944,16
10,1.071945,16
30,1.099254,16
50,1.099256,16
100,1.099275,16
300,1.099342,16
500,1.099408,16
1000,1.099567,16
1,1.002263,16
3,1.002264,16
5,1.002264,16
10,1.002266,16
30,1.002275,16
50,1.002280,16
100,1.072892,16
300,1.072917,16
500,1.072954,16
1000,1.096657,16
1,0.927693,16
3,0.927693,16
5,0.927693,16
10,0.927693,16
30,0.927697,16
50,1.071135,16
100,1.071156,16
300,1.071246,16
500,1.071350,16
1000,1.071633,16
1,0.816301,16
3,1.143461,16
5,1.554357,16
10,2.305563,16
30,2.381339,16
50,2.386013,16
100,2.386024,16
300,2.386065,16
500,2.386138,16
1000,2.386313,16
1,0.108551,16
3,0.108551,16
5,0.108551,16
10,0.108551,16
30,0.151650,16
50,0.268219,16
100,0.410810,16
300,0.932535,16
500,1.104788,16
1000,1.431733,16
1,0.932341,16
3,0.937206,16
5,0.937206,16
10,0.937206,16
30,0.985929,16
50,0.985932,16
100,0.985938,16
300,0.985988,16
500,0.986024,16
1000,0.986152,16
1,0.888941,16
3,0.888942,16
5,0.888943,16
10,0.888943,16
30,0.888949,16
50,0.888953,16
100,0.888960,16
300,0.889000,16
500,0.889053,16
1000,0.889169,16
1,0.541989,16
3,0.664810,16
5,0.784969,16
10,1.040192,16
30,1.169202,16
50,1.462964,16
100,1.497586,16
300,1.614895,16
500,1.840841,16
1000,1.841387,16
1,0.881909,16
3,0.881912,16
5,0.881912,16
10,0.881912,16
30,0.881921,16
50,0.881932,16
100,0.881944,16
300,0.911919,16
500,0.911956,16
1000,0.912039,16
1,1.834887,32
3,1.834890,32
5,1.834890,32
10,1.834891,32
30,1.834897,32
50,1.834899,32
100,1.834914,32
300,1.834974,32
500,1.835032,32
1000,1.835166,32
1,0.602651,32
3,0.602651,32
5,0.602651,32
10,0.602652,32
30,0.602655,32
50,0.602656,32
100,0.602670,32
300,0.602712,32
500,0.602771,32
1000,0.602903,32
1,0.607912,32
3,0.607912,32
5,0.607912,32
10,0.607913,32
30,0.607915,32
50,0.607917,32
100,0.785730,32
300,0.785742,32
500,0.785745,32
1000,0.785760,32
1,0.615997,32
3,0.640368,32
5,0.640368,32
10,0.640369,32
30,0.640370,32
50,0.646866,32
100,0.646876,32
300,0.646911,32
500,0.646944,32
1000,0.647036,32
1,0.501300,32
3,0.741907,32
5,0.928465,32
10,1.223487,32
30,1.260324,32
50,1.260327,32
100,1.260329,32
300,1.260338,32
500,1.260354,32
1000,1.260386,32
1,0.114854,32
3,0.114854,32
5,0.114854,32
10,0.114854,32
30,0.134466,32
50,0.200669,32
100,0.449185,32
300,0.650484,32
500,0.756651,32
1000,0.890194,32
1,0.730712,32
3,0.730716,32
5,0.778441,32
10,0.778442,32
30,0.790349,32
50,0.790353,32
100,0.953375,32
300,0.953447,32
500,0.953523,32
1000,0.953682,32
1,0.619716,32
3,0.619717,32
5,0.619718,32
10,0.619718,32
30,0.619720,32
50,0.619722,32
100,0.619735,32
300,0.619770,32
500,0.619792,32
1000,0.619871,32
1,0.427150,32
3,0.599897,32
5,0.599897,32
10,0.786127,32
30,0.835117,32
50,0.992729,32
100,1.000126,32
300,1.076782,32
500,1.076790,32
1000,1.076896,32
1,0.579188,32
3,0.595172,32
5,0.595172,32
10,0.595172,32
30,0.633017,32
50,0.633018,32
100,0.633023,32
300,0.633047,32
500,0.633070,32
1000,0.633133,32
1,1.711748,64
3,1.711748,64
5,1.711748,64
10,1.711748,64
30,1.711749,64
50,1.711749,64
100,1.711754,64
300,1.711778,64
500,1.711803,64
1000,1.711876,64
1,0.803020,64
3,0.803020,64
5,0.803020,64
10,0.803021,64
30,0.803024,64
50,0.803027,64
100,0.803038,64
300,0.803066,64
500,0.803090,64
1000,0.803143,64
1,0.743212,64
3,0.747072,64
5,0.765342,64
10,0.765343,64
30,0.765343,64
50,0.765343,64
100,0.838984,64
300,0.838990,64
500,0.838993,64
1000,0.839001,64
1,0.830320,64
3,0.882061,64
5,0.882062,64
10,0.882064,64
30,0.882065,64
50,0.882065,64
100,0.882065,64
300,0.882078,64
500,0.882090,64
1000,0.882135,64
1,0.551560,64
3,0.730587,64
5,0.781316,64
10,0.845537,64
30,0.860034,64
50,0.860035,64
100,0.860037,64
300,0.860040,64
500,0.860046,64
1000,0.860067,64
1,0.115112,64
3,0.115112,64
5,0.115112,64
10,0.115112,64
30,0.360660,64
50,0.367345,64
100,0.434682,64
300,0.521274,64
500,0.624824,64
1000,0.636718,64
1,0.771740,64
3,0.836042,64
5,0.836042,64
10,0.836042,64
30,0.836043,64
50,0.836044,64
100,0.856737,64
300,0.856743,64
500,0.856747,64
1000,0.856757,64
1,0.799774,64
3,0.799774,64
5,0.799774,64
10,0.799774,64
30,0.799777,64
50,0.799784,64
100,0.799805,64
300,0.799869,64
500,0.799935,64
1000,0.800040,64
1,0.490031,64
3,0.686073,64
5,0.686073,64
10,0.770726,64
30,0.868297,64
50,0.869457,64
100,0.869469,64
300,0.870908,64
500,0.872216,64
1000,0.872237,64
1,0.772359,64
3,0.772359,64
5,0.772359,64
10,0.772361,64
30,0.772366,64
50,0.772368,64
100,0.772370,64
300,0.772399,64
500,0.772449,64
1000,0.772505,64