tau,T,t
0.02,0.01,0.04
0.02,0.01,0.23
0.02,0.01,0.08
0.02,0.01,0.11
0.02,0.01,0.05
0.02,0.01,0.29
0.02,0.01,0.08
0.02,0.01,0.09
0.02,0.01,0.15
0.02,0.01,0.08
0.06,0.01,0.09
0.06,0.01,0.35
0.06,0.01,0.19
0.06,0.01,0.19
0.06,0.01,0.20
0.06,0.01,0.37
0.06,0.01,0.23
0.06,0.01,0.45
0.06,0.01,0.16
0.06,0.01,0.23
0.08,0.01,0.61
0.08,0.01,0.34
0.08,0.01,0.19
0.08,0.01,0.20
0.08,0.01,0.23
0.08,0.01,0.26
0.08,0.01,0.26
0.08,0.01,0.40
0.08,0.01,0.24
0.08,0.01,0.23
0.10,0.01,0.60
0.10,0.01,0.36
0.10,0.01,0.24
0.10,0.01,0.26
0.10,0.01,0.24
0.10,0.01,0.27
0.10,0.01,0.28
0.10,0.01,0.38
0.10,0.01,0.24
0.10,0.01,0.27