fft_scale,tau,T,%filled_cells,#vec_outps,#filtered_vectors,#matching_vectors,#checked_pvectors,#checked_mvectors,#visited_cells,#visited_mcells,#visited_ccells,#filtered_cells
0,0.000000,0.600000,0.44%,0,833,0,142,0,1,0,1,10
0,0.000100,0.600000,0.44%,0,833,0,142,0,1,0,1,10
0,0.001000,0.600000,0.44%,0,829,0,138,4,1,0,1,14
0,0.010000,0.600000,0.44%,0,813,0,122,20,1,0,1,14
0,0.020000,0.600000,0.44%,0,785,0,94,48,1,0,1,17
0,0.060000,0.600000,0.44%,0,491,0,207,342,6,0,6,12
0,0.080000,0.600000,0.44%,0,326,0,48,507,8,0,8,10
0,0.100000,0.600000,0.44%,0,69,0,57,764,9,0,9,9
0,0.200000,0.600000,0.44%,0,3,0,0,830,15,0,15,3
0,0.600000,0.600000,0.44%,0,2,0,0,831,16,0,16,2
0,0.800000,0.600000,0.44%,0,0,2,0,831,18,2,16,0
0,1.000000,0.600000,0.44%,0,0,2,0,831,18,2,16,0
0,0.000000,0.600000,2.15%,0,833,0,3,0,1,0,1,17
0,0.000100,0.600000,2.15%,0,833,0,3,0,1,0,1,17
0,0.001000,0.600000,2.15%,0,833,0,3,0,1,0,1,25
0,0.010000,0.600000,2.15%,0,830,0,0,3,1,0,1,43
0,0.020000,0.600000,2.15%,0,830,0,0,3,1,0,1,56
0,0.060000,0.600000,2.15%,0,786,0,0,47,12,0,12,61
0,0.080000,0.600000,2.15%,0,624,0,11,209,29,0,29,45
0,0.100000,0.600000,2.15%,0,396,0,6,437,42,0,42,32
0,0.200000,0.600000,2.15%,0,101,0,0,732,66,0,66,15
0,0.600000,0.600000,2.15%,0,3,0,0,830,85,0,85,3
0,0.800000,0.600000,2.15%,0,0,3,0,830,88,3,85,0
0,1.000000,0.600000,2.15%,0,0,11,1,822,88,5,83,0
0,0.000000,0.600000,3.71%,0,833,0,11,0,1,0,1,24
0,0.000100,0.600000,3.71%,0,832,0,10,1,1,0,1,29
0,0.001000,0.600000,3.71%,0,831,0,9,2,1,0,1,34
0,0.010000,0.600000,3.71%,0,827,0,5,6,1,0,1,48
0,0.020000,0.600000,3.71%,0,822,0,0,11,1,0,1,62
0,0.060000,0.600000,3.71%,0,789,0,2,44,5,0,5,76
0,0.080000,0.600000,3.71%,0,782,0,1,51,9,0,9,73
0,0.100000,0.600000,3.71%,0,747,0,0,86,16,0,16,103
0,0.200000,0.600000,3.71%,0,473,0,0,360,73,0,73,74
0,0.600000,0.600000,3.71%,0,10,0,0,823,148,0,148,4
0,0.800000,0.600000,3.71%,0,0,10,0,823,152,4,148,0
0,1.000000,0.600000,3.71%,0,0,72,0,761,152,9,143,0
0,0.000000,0.600000,4.9%,0,833,0,25,0,1,0,1,22
0,0.000100,0.600000,4.9%,0,833,0,25,0,1,0,1,22
0,0.001000,0.600000,4.9%,0,833,0,25,0,1,0,1,32
0,0.010000,0.600000,4.9%,0,825,0,17,8,1,0,1,45
0,0.020000,0.600000,4.9%,0,816,0,8,17,1,0,1,60
0,0.060000,0.600000,4.9%,0,791,0,2,42,4,0,4,80
0,0.080000,0.600000,4.9%,0,790,0,1,43,4,0,4,80
0,0.100000,0.600000,4.9%,0,757,0,0,76,12,0,12,98
0,0.200000,0.600000,4.9%,0,602,0,0,231,58,0,58,113
0,0.600000,0.600000,4.9%,0,3,0,0,830,198,0,198,3
0,0.800000,0.600000,4.9%,0,0,3,0,830,201,3,198,0
0,1.000000,0.600000,4.9%,0,0,73,2,760,201,14,187,0